"Run","Sex","Rat","Condition","Extinction 1 (Active Lever Presses)","Footshock Reinstatement (Active Lever Presses)","Dry Ice BSLN","Dry Ice Exp","Von BSLN force in mN","Von Exp force in mN","Hargreaves BSLN","Hargreaves Exp","Baseline ACTH Diurnal PM","Baseline ACTH Diurnal AM = 0 min","Baseline ACTH 30 min","Baseline ACTH 60 min","Baseline ACTH 90 min","Baseline ACTH 150 min","Exp. ACTH Diurnal PM","Exp. ACTH Diurnal AM = 0 min","Exp. ACTH 30 min","Exp. ACTH 60 min","Exp. ACTH 90 min","Exp. ACTH 150 min","Baseline Cort Diurnal PM","Baseline Cort Diurnal AM = 0 min","Baseline Cort 30 min","Baseline Cort 60 min","Baseline Cort 90 min","Baseline Cort 150 min","Exp. Cort Diurnal PM","Exp. Cort Diurnal AM = 0 min","Exp. Cort 30 min","Exp. Cort 60 min","Exp. Cort 90 min","Exp. Cort 150 min","Baseline TL Distance (m) OF","Exp. TL Distance (m) OF","Baseline Time in outer squares (s)","Exp. Time in outer squares (s)","Baseline Cort AUC","Exp. Cort AUC","Baseline ACTH AUC","Exp. ACTH AUC"
"Op1","M",1,"SR",29,12,15.09875,14.835,115.36903,21.39732,NA,NA,74,102,1294,680,152,70,90,94,466,82,98,104,365.55,21.6,654.15,718.5,734.7,92.25,63.9,199.35,562.8,545.85,161.55,51.75,54.926,66.205,587.4,520.7,74092.5,37309.5,59190,13080
"Op1","M",2,"AC",119,16,15.31,14.12,133.66269,18.92184,NA,NA,102,38,1760,790,282,86,54,186,1010,194,126,128,433.05,55.65,740.7,727.95,593.7,117,5.85,530.4,692.1,539.4,218.4,51.15,33.911,39.525,579,527.3,66773.25,48591,86640,29520
"Op1","M",3,"SR",85,16,18.4125,18.0775,125.1215,45.07657,NA,NA,102,76,902,662,112,86,468,NA,1080,370,178,100,191.1,30.3,807.3,760.5,451.2,58.8,146.85,219.15,612.6,378.3,136.95,81.75,28.546,35.399,593.6,559.1,65011.5,29367,44280,NA
"Op1","M",4,"AC",68,27,18.14375,18.85375,117.0757,30.65685,NA,NA,104,86,1090,398,142,72,110,160,836,374,202,120,485.1,91.5,696.75,712.35,617.55,44.25,264.6,440.55,654.3,518.25,204.6,83.4,12.412,34.56,588.3,598.7,66125.25,40983.75,43680,33390
"Op1","M",5,"SR",35,16,16.1925,17.46375,160.85132,47.36046,NA,NA,358,174,1642,190,158,78,NA,NA,NA,NA,226,162,672,87.6,812.7,629.25,501.3,39.75,350.25,617.7,684.6,371.1,455.55,100.5,59.816,42.911,550.9,538.2,62361,49376.25,55320,NA
"Op1","M",6,"SR",58,21,16.75875,13.04,131.88497,18.92184,NA,NA,98,84,1288,114,106,92,400,430,1514,824,252,240,301.05,88.05,717.15,750,542.4,105.9,399,358.8,630.75,569.1,366.6,213.75,49.397,50.33,562.6,490.8,59712.75,32224.5,38250,59130
"Op2","M",7,"AC",33,5,16.77375,16.31375,89.81553,18.92184,NA,17.95125,114,90,830,254,136,52,226,184,1570,648,280,100,483.75,33.45,728.25,781.2,493.05,67.8,322.5,155.25,836.7,790.5,643.5,167.55,32.905,53.219,581.9,506.4,64989,61841.25,33750,69900
"Op2","M",10,"SR",50,15,12.80625,17.71375,21.39732,18.92184,NA,19.11375,156,152,712,238,116,62,218,146,142,80,54,66,314.25,56.85,665.55,705.15,163.35,45.6,216.9,128.55,533.4,254.55,69.15,25.5,34.801,39.454,575.7,503.6,43852.5,25618.5,28560,5160
"Op2","M",11,"SR",130,23,17.51,13.06875,40.95469,61.63857,NA,19.48125,116,64,1282,886,582,188,268,108,884,352,176,126,531.3,36,722.25,868.35,859.2,658.8,345,182.55,686.55,628.35,389.55,135.45,42.655,57.571,565.2,520.5,101286,43461,88230,34200
"Op2","M",12,"AC",94,28,15.57625,18.58,112.7196,18.92184,NA,18.09,138,92,2750,630,186,102,144,144,990,222,112,28,346.2,21,917.4,998.25,749.1,64.8,171.9,438.45,875.55,700.5,211.8,26.85,42.087,43.715,549.7,503,90288,60167.25,100410,40200
