Measure,AC_M Mean,AC_M SD,AC_M n,AC_F Mean,AC_F SD,AC_F n,SR_M Mean,SR_M SD,SR_M n,SR_F Mean,SR_F SD,SR_F n
Lever: Extinction (presses),82.47,41.73,15,165.33,115.66,15,74.19,32.3,16,142.12,85.22,16
Lever: Reinstatement (presses),11.07,8.57,15,32.33,22.31,15,17.75,14.81,16,45.5,40.6,16
Pain: Dry Ice BSLN (s),16.97,1.59,16,16.86,1.67,15,16.48,1.94,16,16.84,1.66,16
Pain: Dry Ice Exp (s),14.53,2.65,15,15.02,1.3,15,15.15,1.99,16,15.77,1.75,16
Pain: Von Frey BSLN (mN),79.35,26.2,16,31.31,17.66,15,79.31,41.14,16,36.23,21.66,16
Pain: Von Frey Exp (mN),28.19,13.15,16,25.97,17.02,15,35.92,21.33,16,21.22,5.48,16
Pain: Hargreaves BSLN (s),13.61,1.26,6,12.81,2.48,15,12.51,0.37,4,14.51,2.13,16
Pain: Hargreaves Exp (s),15.72,3.37,14,15.65,1.95,15,16.32,2.84,12,12.29,2.01,16
HPA: Cort AUC BSLN,65627.72,14608.13,16,55858.71,19657.95,15,68940.0,19797.51,16,52748.09,15215.77,16
HPA: Cort AUC Exp,51624.3,26932.74,15,36722.1,10828.8,15,35320.5,8885.41,16,36868.64,14476.91,16
HPA: ACTH AUC BSLN,55021.88,36984.38,16,14590.15,12446.14,13,68128.0,51043.11,15,17842.1,11495.52,15
HPA: ACTH AUC Exp,37340.0,29013.77,15,7587.2,5564.53,15,29417.14,15781.86,14,10900.38,8184.94,13
OF: Distance BSLN (m),35.53,10.41,16,56.08,11.24,15,40.47,9.99,16,54.63,6.98,16
OF: Distance Exp (m),48.4,9.43,15,53.66,4.87,15,48.27,10.08,16,55.32,8.25,16
OF: Outer Time BSLN (s),573.96,19.37,16,548.96,21.23,15,577.4,14.12,16,548.46,25.8,16
OF: Outer Time Exp (s),493.27,47.52,15,476.19,23.64,15,509.96,34.4,16,479.04,23.0,16
