Domain,Metric,Value,n
Care Team Helpfulness,Mean (SD),3.57 (1.29),35
Care Team Helpfulness,% Very/Extremely Helpful (4–5),57.1%,35
Communication,% Satisfied with frequency,100.0%,35
Communication,% Usually/Always could reach team,88.6%,35
Self-Efficacy,Confident achieving goals — Mean (SD),3.70 (1.21),30
Self-Efficacy,Confident achieving goals — % Top-2,63.3%,30
Self-Efficacy,Confident finding resources — Mean (SD),3.00 (1.28),35
Self-Efficacy,Confident finding resources — % Top-2,45.7%,35
Self-Efficacy,Confident managing pain — Mean (SD),3.00 (1.26),35
Self-Efficacy,Confident managing pain — % Top-2,45.7%,35
Overall Satisfaction,% Needs met,75.8%,33
Overall Satisfaction,% Met or exceeded expectations,88.6%,35
