Domain,Metric,Value,N
Demographics,Age — mean (SD),49.4 (14.9),1523
Demographics,% Female,37.8%,1523
Demographics,% White,92.5%,1523
Demographics,% Hispanic,0.9%,1523
Demographics,% Insured,93.8%,1523
Recruitment,% In-person pharmacy initiation,26.7%,1523
Recruitment,% Preferred SMS/Text,57.5%,1515
Pain (BPI),Worst pain — mean (SD),6.31 (2.55),1519
Pain (BPI),Average pain — mean (SD),4.73 (2.40),1519
Pain (BPI),Interference mean — mean (SD),4.81 (2.76),1517
Substance Use (ASSIST),% Ever Rx Opioid,66.4%,1514
Substance Use (ASSIST),% Ever Alcohol,76.0%,1514
Substance Use (ASSIST),% Ever Tobacco,59.4%,1514
Substance Use (ASSIST),% Ever injected,3.8%,1523
Opioid Misuse (POMI),% Any misuse behavior,27.0%,1523
Opioid Misuse (POMI),POMI total — mean (SD),0.46 (0.92),1523
Depression (PHQ-2),PHQ-2 mean (SD),1.39 (1.79),1493
Depression (PHQ-2),% Positive screen (≥3),19.9%,1493
Overdose History,% Any personal overdose,9.8%,1516
NarxScore,Mean (SD),275.1 (146.9),1464
NarxScore,% High risk (>400),22.7%,1464
